agenda,date,draft,draft_url,meeting_record,meeting_record_url,veto_power,veto_china,veto_france,veto_russia,veto_ussr,veto_uk,veto_usa
"Middle East situation, including the Palestinian question",1 June 2018,S/2018/516,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/516,S/PV.8274,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8274,USA,,,,,,USA
Middle East ,10 April 2018,S/2018/321,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/321,S/PV.8228,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8228,Russian_Federation,,,Russian Federation,,,
Middle East ,26 February 2018,S/2018/156,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/156,S/PV.8190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8190,Russian_Federation,,,Russian Federation,,,
"Middle East situation, including the Palestinian question",18 December 2017,S/2017/1060,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/1060,S/PV.8139,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8139,USA,,,,,,USA
Middle East ,17 November 2017,S/2017/970,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/970,S/PV.8107,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8107,Russian_Federation,,,Russian Federation,,,
Middle East ,16 November 2017,S/2017/962,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/962,S/PV.8105,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8105,Russian_Federation,,,Russian Federation,,,
Middle East ,24 October 2017,S/2017/884,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/884,S/PV.8073,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8073,Russian_Federation,,,Russian Federation,,,
Middle East ,12 April 2017,S/2017/315,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/315,S/PV.7922,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7922,Russian_Federation,,,Russian Federation,,,
Middle East ,28 February 2017,S/2017/172,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/172,S/PV.7893,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7893,China Russian_Federation,China,,Russian Federation,,,
Middle East ,5 December 2016,S/2016/1026,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2016/1026,S/PV.7825,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7825,China Russian_Federation,China,,Russian Federation,,,
